tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,y
2016-540,Wimbledon,Grass,128,G,20160627,191,,Juan Monaco,R,185.0,ARG,32.2,6-1 6-4 6-3,5,R64,82.0,104542,12.0,,Jo-Wilfried Tsonga,R,188.0,FRA,31.1,104338,,8.0,1.0,72.0,52.0,42.0,11.0,13.0,3.0,4.0,1.0,1.0,80.0,60.0,33.0,10.0,13.0,8.0,14.0,12.0,2725.0,97.0,620.0,0
2020-0499,Delray Beach,Hard,32,A,20200217,283,,Miomir Kecmanovic,R,183.0,SRB,20.4,6-2 0-0 RET,3,R32,27.0,111442,,,Jordan Thompson,R,183.0,AUS,25.8,200175,,1.0,1.0,19.0,9.0,9.0,7.0,4.0,0.0,0.0,1.0,0.0,23.0,18.0,9.0,3.0,4.0,2.0,4.0,65.0,843.0,50.0,999.0,1
2020-9408,Sardinia,Clay,32,A,20201012,284,,Roberto Carballes Baena,R,183.0,ESP,27.5,7-5 6-4,3,R32,117.0,105948,,Q,Federico Coria,R,180.0,ARG,28.5,106148,,0.0,0.0,62.0,45.0,23.0,11.0,11.0,2.0,6.0,2.0,2.0,72.0,37.0,18.0,16.0,11.0,5.0,11.0,86.0,753.0,96.0,694.0,1
2016-580,Australian Open,Hard,128,G,20160118,109,,Illya Marchenko,R,185.0,UKR,28.3,6-4 3-6 6-0 6-4,5,R128,154.0,117357,,,Omar Jasika,L,183.0,AUS,18.6,105011,,5.0,3.0,115.0,78.0,53.0,19.0,18.0,5.0,8.0,13.0,7.0,106.0,64.0,40.0,20.0,17.0,5.0,11.0,310.0,159.0,76.0,688.0,0
2017-580,Australian Open,Hard,128,G,20170116,187,,Gilles Muller,L,193.0,LUX,33.6,6-3 6-4 7-6(4),5,R64,119.0,105683,3.0,,Milos Raonic,R,196.0,CAN,26.0,104180,,21.0,3.0,95.0,61.0,51.0,20.0,16.0,4.0,4.0,7.0,1.0,93.0,65.0,44.0,18.0,15.0,5.0,7.0,3.0,5290.0,28.0,1415.0,0
2020-9408,Sardinia,Clay,32,A,20201012,272,,Jiri Vesely,L,198.0,CZE,27.2,6-1 7-5,3,R32,82.0,111794,,,Kamil Majchrzak,R,183.0,POL,24.7,106210,,7.0,0.0,48.0,35.0,27.0,7.0,9.0,0.0,1.0,1.0,3.0,70.0,38.0,22.0,15.0,10.0,4.0,9.0,105.0,652.0,67.0,875.0,1
2017-0407,Rotterdam,Hard,32,A,20170213,277,,Mischa Zverev,L,190.0,GER,29.4,6-7(4) 6-2 6-4,3,R32,114.0,105777,5.0,,Grigor Dimitrov,R,188.0,BUL,25.7,104999,,11.0,4.0,98.0,75.0,55.0,13.0,15.0,5.0,6.0,4.0,2.0,103.0,64.0,48.0,12.0,15.0,5.0,9.0,12.0,2925.0,34.0,1238.0,0
2016-M021,Madrid Masters,Clay,64,M,20160502,290,,Richard Gasquet,R,185.0,FRA,29.8,6-4 7-5,3,R16,99.0,105453,6.0,,Kei Nishikori,R,178.0,JPN,26.3,104755,10.0,1.0,1.0,62.0,40.0,29.0,12.0,11.0,1.0,3.0,3.0,1.0,76.0,50.0,28.0,13.0,11.0,5.0,9.0,6.0,4290.0,12.0,2635.0,0
2019-M014,Moscow,Hard,32,A,20191014,286,,Karen Khachanov,R,198.0,RUS,23.3,3-6 6-3 7-6(7),3,R16,143.0,104259,,,Philipp Kohlschreiber,R,178.0,GER,35.9,111575,2.0,8.0,9.0,105.0,53.0,41.0,24.0,15.0,6.0,8.0,7.0,3.0,100.0,56.0,42.0,22.0,15.0,2.0,4.0,76.0,715.0,8.0,2990.0,1
2017-M-DC-2017-WG-M-ARG-ITA-01,Davis Cup WG R1: ARG vs ITA,Clay,4,D,20170203,4,,Paolo Lorenzi,R,183.0,ITA,35.1,4-6 6-4 6-1 3-6 6-3,5,RR,254.0,104122,,,Carlos Berlocq,R,183.0,ARG,33.9,103893,,4.0,2.0,140.0,89.0,60.0,31.0,23.0,7.0,11.0,6.0,3.0,147.0,89.0,63.0,24.0,22.0,9.0,15.0,81.0,668.0,43.0,1042.0,0
